Country/area,2022_Renewable(%),2022_Hydro_generation(TWH),2022_Hydro_generation(%),2022_Hydro_consumption(%),2022_Wind_generation(TWH),2022_Wind_generation(%),2022_Wind_consumption(%),2022_Solar_generation(TWH),2022_Solar_generation(%),2022_Solar_consumption(%),Unnecessary_Column
Algeria,,-10.0,5.26,4.8,,,,,,,47.446027053165786
Argentina,,1.23,45.59,1.1,,,,,,,64.52673387375643
Argentina,,1.23,45.59,1.1,,,,,,,64.52673387375643
Australia,,7.69,11.27,5.3,,,,,,,18.610685077587164
Austria,,16.08,70.36,25.1,,,,,,,88.9067938822976
Azerbaijan,,,6.34,,,,,,,,27.10767568398561
Bangladesh,16.32,,16.32,,,0.0,,,0.0,,76.7655543527645
Belarus,,,0.06,,,,,,,,14.284021089761822
Belgium,,0.27,0.5,0.2,,0.0,,,,,76.64917472309352
Brazil,,25.52,92.1,27.5,,0.0,,,,,11.30017782337932
Bulgaria,,2.0,5.37,4.9,,,,,,,71.328962680683
Canada,,118.09,66.15,25.1,,0.0,,,,,85.82640072476416
Chile,,3.95,78.85,16.1,,,,,,,71.35508892324809
China,22.5,22.1,22.5,4.3,,0.0,,,0.0,,58.766175544608544
Colombia,,3.54,62.78,10.7,,,,,,,65.04067625407097
Croatia,,,,,,,,,,,17.5062475008096
Shechia,,2.23,2.88,1.4,,,,,,,15.319515637881832
Denmark,,0.03,0.1,,,0.2,,,,,4.5514668854405365
Equador,,0.25,71.94,,,,,,,,37.95044636923117
Egypt,,1.73,30.24,5.6,,0.0,,,,,24.008234782926852
Estonia,,,0.0,,,,,,,,44.434608004992114
Finland,,9.35,24.97,,,,,,,,24.234592933059183
France,,46.88,17.97,10.6,,,,,,,50.82636449641441
Germany,,16.21,3.33,1.6,,0.0,,,,,13.847818529388167
Greece,,0.8,10.11,,,0.0,,,,,78.57195701523075
Hong Kong,,0.0,0.0,,,,,,,,28.863241287738074
Hungary,,0.07,0.58,0.1,,,,,,,78.98633172690236
Iceland,,0.64,95.45,,,,,,,,50.963938529974875
India,27.8,19.17,27.8,9.1,0.0,0.0,0.0,,0.0,,13.06350241838976
Indonesia,16.9,1.83,16.9,6.4,0.0,0.0,0.0,,0.0,,84.12183735957754
Iran,,1.72,15.16,5.2,,,,,,,35.078763275856275
Iraq,,0.07,2.91,,,,,,,,80.21941946242664
Ireland,,0.94,6.93,,,,,,,,14.65050263899087
Israel,,,0.01,,,,,,,,53.515916073866585
Italy,23.65,42.63,22.12,13.6,0.0,0.0,0.0,0.0,0.0,0.0,75.52782645953839
Japan,14.22,76.07,12.33,12.3,0.0,0.0,0.0,0.0,0.0,0.0,54.77529709498155
Kazakhstan,,,6.41,,,,,,,,43.048445242752905
Latvia,,,60.04,,,,,,,,84.96376506332122
Lithuania,,,1.88,,,,,,,,20.14115500611218
Luxemberg,,0.09,7.41,0.6,,,,,,,10.379407468363066
Malaysia,125.22,0.59,25.22,,,0.0,,0.0,0.0,,21.0836681488778
Mexico,31.25,8.86,29.55,8.9,,0.0,,,0.0,,24.578721350579503
Moroco,6.62,1.21,6.62,20.2,0.0,0.0,0.0,,0.0,,18.02351444459448
Netherlands,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.024214063874187
New Zealand,76.3,10.02,69.24,,,0.0,,0.0,0.0,,74.02669236846883
North Macedonia,,,,,,,,,,,40.81556381528557
Norway,99.12,49.45,99.12,,0.0,0.0,,0.0,0.0,,73.72571418367986
Oman,0.0,,0.0,,,0.0,,,0.0,,19.01297086496072
Pakistan,45.18,2.2,45.18,7.9,,0.0,,,0.0,,19.712763071133487
Peru,78.86,2.63,77.47,14.1,,0.0,,,0.0,,62.09071272992277
Philippines,50.49,1.55,24.39,,0.0,0.0,,0.0,0.0,,14.758491750203383
Poland,1.63,0.9,1.34,0.3,0.0,0.0,0.0,0.0,0.0,0.0,35.492306153507435
Portugal,59.48,3.98,56.58,,0.0,0.0,,0.0,0.0,,48.35267184668244
Romania,17.7,1.0,17.7,1.1,,0.0,,,0.0,,82.78423784232922
Russia,,,16.6,,,,,,,,73.92097027677448
Saudi Arabia,0.0,0.0,0.0,0.0,,0.0,,,0.0,,65.13185087705358
Singapore,0.0,0.0,0.0,,,0.0,,,0.0,,47.1986160004474
Slovakia,9.41,2.22,9.41,6.2,,0.0,,,0.0,,25.052727879883776
Slovenia,,,,,,,,,,,2.813923395032958
South Africa,0.43,0.04,0.43,0.0,,0.0,,,0.0,,24.396804045271747
South Korea,5.08,0.71,5.08,,,0.0,,,0.0,,11.245739877476568
Spain,25.2,19.69,24.72,,0.0,0.0,,0.0,0.0,,4.5521888801768
Sri Lanka,97.18,0.36,97.18,,0.0,0.0,,0.0,0.0,,75.67058639765314
Sweden,53.08,46.42,51.76,,0.0,0.0,,0.0,0.0,,5.089079077720493
Switzerland,57.54,24.1,56.89,,0.0,0.0,,0.0,0.0,,6.086878711372101
Taiwan,10.81,2.59,10.8,10.9,,0.0,,,0.0,,0.6626418427818415
Thailand,16.03,0.84,16.03,,,0.0,,,0.0,,34.24487049912901
Trinidad and Tobago,,,,,,0.0,,,0.0,,32.33862523822465
Turkey,35.22,2.18,35.2,,0.0,0.0,,0.0,0.0,,52.40611149959064
Turkmenistan,,,0.03,,,,,,,,56.522908028157836
Ukraine,,,3.94,,,,,,,,21.334389889020567
United Kingdom,1.33,4.61,1.33,0.6,0.0,0.0,0.0,0.0,0.0,0.0,83.60833635796968
United States,12.18,198.97,10.81,4.1,,0.0,,,0.0,,90.53079894393419
Uzbekistan,,,11.33,,,,,,,,32.411750242402725
Venezuela,47.89,1.37,47.89,2.1,,0.0,,,0.0,,94.25117482022091
Vietnam,29.14,0.34,29.14,,,0.0,,,0.0,,13.084657255586752
Other,,,,,,,,,,,0.45569281319151056
Africa,19.2,13.91,19.09,5.7,0.0,0.0,0.0,,0.0,,59.33529940665069
Africa (EI),19.2,13.91,19.09,5.7,0.0,0.0,0.0,,0.0,,65.58720741241126
Asia,18.01,142.91,17.08,7.9,0.0,0.0,0.0,0.0,0.0,0.0,9.765264471944812
Asia Pacific (EI),19.78,156.09,18.55,8.8,0.0,0.0,0.0,0.0,0.0,0.0,55.07063835787738
CIS (EI),,81.43,15.99,3.5,0.0,,0.0,0.0,,0.0,79.69449316900193
Central America (EI),79.93,1.36,71.53,,,0.0,,,0.0,,74.7410251123591
Eastern Africa (EI),82.65,6.05,81.71,,,0.0,,,0.0,,9.624345003440126
Europe,17.21,381.45,16.91,5.9,0.0,0.0,0.0,0.0,0.0,0.0,94.26840001996169
Europe (EI),17.82,302.2,17.42,7.2,0.0,0.0,0.0,0.0,0.0,0.0,12.408055791684557
European Union (27),15.6,211.81,15.06,6.7,0.0,0.0,0.0,0.0,0.0,0.0,77.35849118149568
High-income countries,18.61,706.7,17.63,6.8,0.0,0.0,0.0,0.0,0.0,0.0,76.41605700371969
Lower-middle-income countries,17.19,30.51,16.31,8.1,0.0,0.0,0.0,0.0,0.0,0.0,25.616246876026814
Middle Africa (EI),193.9,3.94,93.9,30.6,,0.0,,,0.0,,95.82601485038123
Middle East (EI),5.69,2.35,5.69,1.3,,0.0,,,0.0,,68.65080046677
Non-OECD (EI),23.36,204.96,23.01,4.8,0.0,0.0,0.0,0.0,0.0,0.0,88.76871286410399
North America,20.35,326.29,19.09,5.9,,0.0,,,0.0,,43.71549824906413
North America (EI),20.51,325.93,19.28,6.0,,0.0,,,0.0,,18.34563032578288
OECD (EI),19.53,718.24,18.51,6.9,0.0,0.0,0.0,0.0,0.0,0.0,30.519321332509563
Oceania,23.74,17.71,22.12,10.2,,0.0,,0.0,0.0,0.0,63.921336829334926
South America,177.56,39.58,76.47,11.0,,0.0,,,0.0,,53.54365161404304
South and Central America (EI),70.85,41.3,69.37,8.9,,0.0,,,0.0,,35.94971021634022
Upper-middle-income countries,25.53,152.64,25.29,4.4,0.0,0.0,0.0,0.0,0.0,0.0,55.68572771783651
Western Africa (EI),45.3,0.48,45.07,2.5,,0.0,,,0.0,,6.58751490898587
World,20.82,923.2,20.02,6.3,0.0,0.0,0.0,0.0,0.0,0.0,20.49034026348472
